start_date,area_sq_km,percent_of_ukraine
2022-02-28,116.9,25.681019332161686
2022-03-07,140.23,30.806239015817223
2022-03-14,115.42,25.355887521968366
2022-03-21,115.16,25.298769771529
2022-03-28,116.12,25.509666080843584
2022-04-04,114.2,25.08787346221441
2022-04-11,106.56,23.40949033391916
2022-04-18,112.88,24.797891036906854
2022-04-25,103.85000000000001,22.814147627416524
2022-05-02,106.0,23.28646748681898
2022-05-09,87.24,19.165202108963094
2022-05-16,99.46000000000001,21.84973637961336
2022-05-23,102.09,22.42750439367311
2022-05-30,96.84,21.274165202108964
2022-06-06,94.05,20.661247803163445
2022-06-13,88.75,19.496924428822496
2022-06-20,79.05,17.365992970123024
2022-06-27,86.27,18.952108963093146
2022-07-04,83.85000000000001,18.420474516695958
2022-07-11,83.64,18.374340949033392
2022-07-18,89.62,19.688049209138843
2022-07-25,77.21000000000001,16.961775043936733
2022-08-01,71.19,15.63927943760984
2022-08-08,85.48,18.778558875219687
2022-08-15,71.14,15.628295254833041
2022-08-22,76.43,16.79042179261863
2022-08-29,75.2,16.520210896309315
2022-09-05,72.93,16.02152899824253
2022-09-12,71.41,15.687609841827769
2022-09-19,79.03,17.361599297012305
2022-09-26,89.07000000000001,19.56722319859403
2022-10-03,70.03,15.38444639718805
2022-10-10,75.22,16.524604569420035
2022-10-17,74.38,16.34007029876977
2022-10-24,78.97,17.348418277680143
2022-10-31,74.61,16.39059753954306
2022-11-07,78.38,17.218804920913882
2022-11-14,82.02,18.018453427065026
2022-11-21,72.52,15.931458699472758
2022-11-28,77.60000000000001,17.047451669595784
2022-12-05,75.52,16.590509666080845
2022-12-12,76.53,16.81239015817223
2022-12-19,76.34,16.770650263620386
2022-12-26,81.66,17.939367311072054
2023-01-02,71.28,15.659050966608085
2023-01-09,77.77,17.084797891036906
2023-01-16,75.78,16.647627416520212
2023-01-23,72.28,15.878734622144114
2023-01-30,80.92,17.776801405975394
2023-02-06,70.54,15.496485061511425
2023-02-13,73.27,16.09622144112478
2023-02-20,72.52,15.931458699472758
2023-02-27,73.59,16.16652021089631
2023-03-06,73.93,16.24121265377856
2023-03-13,73.2,16.080843585237258
2023-03-20,78.98,17.350615114235502
2023-03-27,70.27,15.437170474516696
2023-04-03,74.71000000000001,16.412565905096663
2023-04-10,68.98,15.153778558875223
2023-04-17,72.21000000000001,15.863356766256592
2023-04-24,73.59,16.16652021089631
2023-05-01,74.2,16.300527240773288
2023-05-08,74.81,16.434534270650264
2023-05-15,71.67,15.744727592267136
2023-05-22,71.48,15.70298769771529
2023-05-29,70.24,15.430579964850613
2023-06-05,76.18,16.735500878734623
2023-06-12,75.52,16.590509666080845
2023-06-19,73.29,16.100615114235502
2023-06-26,74.47,16.359841827768015
2023-07-03,73.27,16.09622144112478
2023-07-10,74.72,16.414762741652023
2023-07-17,74.93,16.460896309314588
2023-07-24,74.15,16.289543057996486
2023-07-31,72.61,15.951230228471003
2023-08-07,74.73,16.416959578207383
2023-08-14,75.03,16.482864674868193
2023-08-21,74.55,16.377416520210897
2023-08-28,74.14,16.287346221441126
2023-09-04,72.16,15.852372583479788
2023-09-11,74.66,16.401581722319857
2023-09-18,74.64,16.397188049209138
2023-09-25,71.32000000000001,15.667838312829527
2023-10-02,70.75,15.54261862917399
2023-10-09,74.10000000000001,16.278558875219687
2023-10-16,74.51,16.368629173989458
2023-10-23,70.31,15.445957820738137
2023-10-30,75.33,16.548769771529
2023-11-06,72.3,15.883128295254833
2023-11-13,72.47,15.920474516695956
2023-11-20,70.71000000000001,15.533831282952551
2023-11-27,74.67,16.40377855887522
2023-12-04,72.37,15.898506151142355
2023-12-11,73.04,16.045694200351495
2023-12-18,67.64,14.859402460456941
2023-12-25,75.02,16.48066783831283
2024-01-01,75.68,16.62565905096661
2024-01-08,74.0,16.25659050966608
2024-01-15,72.49,15.924868189806677
2024-01-22,74.07000000000001,16.271968365553604
2024-01-29,74.24,16.309314586994727
2024-02-05,74.45,16.355448154657296
2024-02-12,74.02,16.2609841827768
2024-02-19,73.84,16.221441124780316
2024-02-26,74.76,16.423550087873465
2024-03-04,74.31,16.32469244288225
2024-03-11,74.76,16.423550087873465
2024-03-18,75.95,16.68497363796134
2024-03-25,74.53,16.373022847100177
2024-04-01,73.39,16.122583479789103
2024-04-08,66.98,14.714411247803163
2024-04-15,74.82000000000001,16.436731107205627
2024-04-22,74.93,16.460896309314588
2024-04-29,74.37,16.337873462214414
2024-05-06,73.99,16.25439367311072
2024-05-13,75.01,16.478471001757473
2024-05-20,72.46000000000001,15.9182776801406
2024-05-27,74.5,16.366432337434095
2024-06-03,74.28,16.31810193321617
2024-06-10,75.64,16.61687170474517
2024-06-17,72.01,15.819420035149387
2024-06-24,74.92,16.45869947275923
2024-07-01,73.92,16.239015817223198
2024-07-08,74.14,16.287346221441126
2024-07-15,71.43,15.692003514938492
2024-07-22,74.96000000000001,16.46748681898067
2024-07-29,69.92,15.360281195079088
2024-08-05,71.87,15.788664323374343
2024-08-12,67.35,14.795694200351491
2024-08-19,75.17,16.513620386643236
2024-08-26,72.18,15.856766256590513
2024-09-02,74.55,16.377416520210897
2024-09-09,69.54,15.276801405975396
2024-09-16,73.13,16.065465729349736
2024-09-23,60.97,13.394112478031634
2024-09-30,72.11,15.841388400702987
2024-10-07,70.9,15.575571177504397
2024-10-14,72.02,15.821616871704745
2024-10-21,70.18,15.417398945518453
2024-10-28,71.10000000000001,15.619507908611602
2024-11-04,68.58,15.065905096660808
2024-11-11,59.34,13.03602811950791
2024-11-18,69.97,15.371265377855888
2024-11-25,63.06,13.853251318101933
2024-12-02,68.60000000000001,15.070298769771531
2024-12-09,67.0,14.718804920913882
2024-12-16,61.49,13.50834797891037
2024-12-23,58.19,12.783391915641475
2024-12-30,71.78,15.7688927943761
2025-01-06,60.09,13.20079086115993
2025-01-13,66.21000000000001,14.545254833040424
2025-01-20,68.88,15.131810193321616
2025-01-27,66.68,14.648506151142357
2025-02-03,68.83,15.120826010544816
2025-02-10,64.75,14.22451669595782
2025-02-17,68.84,15.123022847100176
